QKEY,INTERVIEW_START_W152,INTERVIEW_END_W152,DEVICE_TYPE_W152,SVYMODE_W152,LANG_W152,FORM_W152,AI_HEARD_W152,CNCEXC_W152,USEAI_W152,AICONTROL1_W152,AICONTROL2_W152,AICHANGE_W152,AIFUTRIMPCT_a_W152,AIFUTRIMPCT_b_W152,AIFUTRIMPCT_c_W152,AIFUTRIMPCT_d_W152,AIFUTRIMPCT_e_W152,AIFUTRIMPCT_f_W152,AIFUTRIMPCT_g_W152,AIFUTRIMPCT_h_W152,AIFUTRIMPCT_i_W152,AIFUTRIMPCT_j_W152,AIJOBS_W152,AIJOBIMPCT_a_W152,AIJOBIMPCT_b_W152,AIJOBIMPCT_c_W152,AIJOBIMPCT_d_W152,AIJOBIMPCT_e_W152,AIJOBIMPCT_f_W152,AIJOBIMPCT_g_W152,AIJOBIMPCT_h_W152,AIJOBIMPCT_i_W152,AIJOBIMPCT_j_W152,HUMANVAI_a_W152,HUMANVAI_b_W152,HUMANVAI_c_W152,HUMANVAI_d_W152,HUMANVAI_e_W152,HUMANVAI_f_W152,HUMANVAI_g_W152,HUMANVAI_h_W152,PERSBENHRM_W152,TRSTAIPRS_W152,AICONCERN_a_W152,AICONCERN_b_W152,AICONCERN_c_W152,AICONCERN_d_W152,AICONCERN_e_W152,AICONCERN_f_W152,AICONCERN_g_W152,FUTRAI_a_W152,FUTRAI_b_W152,FUTRAI_c_W152,FUTRAI_d_W152,DISCRIM1_a_W152,DISCRIM1_b_W152,DISCRIM1_c_W152,DISCRIM1_d_W152,DISCRIM1_e_W152,DISCRIM1_f_W152,AIREG_W152,REGCONFG_W152,REGCONFI_W152,CHATAWARE_W152,CHATUSE_W152,CHATHELPFUL_W152,DRIVE1_W152,DRIVE2_a_W152,DRIVE2_b_W152,DRIVE2_c_W152,DRIVE2_d_W152,DRIVE2_e_W152,DRIVE2_f_W152,DRIVE3_W152,DRIVER_W152,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W152
201801112921,15-Aug-2024 09:31:42,15-Aug-2024 09:49:00,3,1,9,2,2,2,5,99,3,3,,,,,,6,6,6,6,6,4,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,3,1,1,1,1,4,1,6,6,6,6,5,5,5,5,5,5,3,6,99,3,,,5,1,1,1,1,1,1,2,6,1,3,5,2,4,2,3,2,2,,1,1,1,1,5,2,2,2,5,1,,1,2,1,2,3,2,2,2,0.8560715529483228
201801113220,14-Aug-2024 12:25:34,14-Aug-2024 12:35:48,1,1,9,1,2,2,5,3,2,5,3,5,5,5,5,,,,,,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,4,3,1,2,1,1,1,1,2,1,1,1,2,5,5,1,4,4,3,2,3,1,4,5,2,2,,4,2,2,2,1,1,2,4,2,1,3,5,2,3,2,2,3,2,,4,2,2,4,1,1,1,1,4,2,,2,3,1,6,3,2,2,2,1.500638512292331
201801113543,14-Aug-2024 19:31:03,14-Aug-2024 19:42:08,1,1,9,2,2,3,4,4,2,2,,,,,,1,3,2,2,4,4,,,,,,4,1,3,1,1,1,1,2,4,2,4,1,4,2,3,2,1,1,3,3,3,3,3,3,3,4,5,5,5,5,5,5,2,6,3,2,1,2,4,2,2,1,1,1,2,4,1,1,3,5,1,4,1,1,5,2,,4,1,1,4,1,11,,4,5,2,,2,4,1,4,4,1,2,2,0.9040345097917899
201801113717,13-Aug-2024 15:34:09,13-Aug-2024 15:38:24,1,1,9,2,2,3,2,5,3,1,,,,,,1,2,3,3,6,2,,,,,,2,3,3,2,2,1,3,2,2,1,2,2,1,2,1,1,3,1,3,2,4,2,1,4,2,2,2,2,2,2,2,2,1,2,2,3,,,3,1,1,1,1,1,1,2,1,1,3,5,2,2,1,3,2,2,,1,1,1,1,1,1,2,1,5,1,,1,1,3,7,1,1,2,2,2.1284844055250156
201801114079,13-Aug-2024 19:08:32,13-Aug-2024 19:17:21,3,1,9,2,2,2,99,4,2,3,,,,,,4,99,4,4,4,2,,,,,,4,2,3,2,4,4,4,2,4,2,2,4,2,1,2,1,1,1,1,1,1,2,2,2,3,5,5,5,5,5,5,5,3,4,4,2,2,,3,1,1,2,1,1,1,3,2,1,3,5,2,4,1,1,5,2,,1,4,4,1,1,1,1,1,4,1,,1,1,1,9,2,2,1,2,0.36007043576921466
201801114107,13-Aug-2024 22:05:03,13-Aug-2024 22:24:17,3,1,9,1,1,3,4,4,3,3,3,5,5,3,3,,,,,,2,4,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,1,2,1,1,1,2,3,1,1,4,3,2,4,3,3,3,3,3,3,2,4,4,1,1,4,4,2,3,2,2,1,2,4,1,1,3,5,3,4,1,1,5,2,,1,1,1,1,1,12,,3,6,1,,1,1,1,99,2,2,2,99,0.7502954303807702
201801114130,16-Aug-2024 12:12:29,16-Aug-2024 12:20:14,3,1,9,1,2,2,4,5,2,6,6,6,5,6,6,,,,,,2,4,1,3,2,2,,,,,,2,2,2,3,2,2,3,2,3,2,1,2,1,1,2,1,1,6,2,4,5,5,4,5,5,5,5,3,5,4,3,,,4,1,1,1,2,1,1,3,6,1,3,5,2,4,2,1,5,2,,1,1,1,1,1,1,2,1,2,1,,1,1,1,2,2,2,1,1,0.7761259057654881
201801114192,17-Aug-2024 10:22:25,17-Aug-2024 10:25:52,1,1,9,2,1,3,2,3,2,3,,,,,,3,3,3,5,4,3,,,,,,3,2,2,3,3,1,2,3,2,3,2,3,2,1,3,2,3,3,2,2,4,3,5,3,2,3,1,3,3,2,1,3,2,4,4,1,1,3,3,1,1,2,3,2,1,3,2,1,4,9,2,2,1,3,2,2,,1,1,1,1,1,9,,3,5,2,,2,4,1,9,4,1,2,3,0.7701283300313962
201801114195,13-Aug-2024 15:30:45,13-Aug-2024 15:41:12,3,1,9,2,2,1,4,4,1,2,,,,,,3,3,6,3,3,2,,,,,,3,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,99,4,99,4,99,4,6,5,5,5,5,5,5,5,3,6,2,3,,,4,2,2,3,2,2,2,4,2,1,3,5,2,4,2,3,2,2,,1,1,1,1,1,1,2,1,4,4,2,2,4,2,3,4,3,1,2,1.9963815805064542
201801114272,13-Aug-2024 19:01:18,13-Aug-2024 19:09:03,1,1,9,1,1,3,2,5,2,3,1,3,3,1,6,,,,,,4,3,4,2,2,2,,,,,,1,4,4,2,3,4,3,3,3,1,3,1,1,2,1,2,3,3,3,6,6,1,1,1,1,1,1,2,3,3,1,2,,4,1,1,1,1,1,1,3,1,1,3,5,2,4,1,1,6,2,,1,1,1,1,1,2,2,2,5,3,99,9,9,1,9,3,2,2,2,0.9483184501974391
201801114416,17-Aug-2024 08:13:06,17-Aug-2024 08:21:55,1,1,9,2,2,2,5,4,2,4,,,,,,5,5,2,5,5,2,,,,,,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,4,5,1,4,4,4,1,4,2,4,5,2,2,,4,1,1,1,2,1,1,3,1,1,3,5,2,2,2,1,6,2,,1,4,4,1,1,9,,3,6,2,,2,4,1,9,4,1,2,2,0.9501843674873771
201801114430,13-Aug-2024 15:48:39,13-Aug-2024 15:57:11,3,1,9,2,1,3,2,3,1,2,,,,,,2,3,3,2,3,2,,,,,,2,3,3,3,2,3,2,2,2,3,2,2,2,2,3,2,1,2,1,2,2,2,2,4,3,3,2,3,3,3,2,2,2,4,4,1,1,4,4,1,1,1,2,1,1,1,1,1,3,5,2,3,1,2,4,2,,1,1,1,1,1,10,,3,6,2,,2,3,1,6,3,2,2,2,1.0834663620944882
201801114716,13-Aug-2024 16:08:19,13-Aug-2024 16:16:26,3,1,9,2,1,2,2,4,2,4,,,,,,6,5,3,4,6,2,,,,,,4,3,2,3,4,2,2,2,4,2,2,2,2,3,2,3,1,1,2,3,2,1,2,1,5,5,5,5,5,5,5,5,2,4,4,2,1,3,5,1,1,1,2,1,1,3,2,2,3,5,3,4,2,2,3,2,,1,1,1,1,2,2,2,2,5,1,,1,1,3,3,2,1,2,2,0.6460248254080414
201801114898,16-Aug-2024 02:06:15,16-Aug-2024 02:09:49,1,1,9,1,2,2,4,3,2,4,3,5,4,4,4,,,,,,3,99,99,99,99,99,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,2,99,99,99,99,99,99,99,99,99,1,1,5,4,99,99,99,99,99,99,99,2,1,3,5,2,1,2,99,99,1,1,1,99,3,1,6,99,2,99,6,1,,1,9,1,99,99,1,2,99,1.014642725891219
201801114941,13-Aug-2024 17:35:00,13-Aug-2024 17:42:18,1,1,9,2,1,1,2,3,1,2,,,,,,3,6,2,1,3,2,,,,,,3,3,2,3,2,1,1,2,2,1,3,1,2,2,2,2,1,1,2,2,3,2,3,3,2,3,2,3,3,2,2,3,1,4,3,1,2,,4,2,1,2,2,1,2,3,1,1,3,5,2,4,1,1,6,2,,1,1,1,1,1,12,,3,6,1,,1,2,1,9,3,2,1,3,0.693745702322543
201801114991,13-Aug-2024 23:23:40,13-Aug-2024 23:44:56,1,1,9,2,2,3,5,3,2,6,,,,,,6,6,6,6,4,4,,,,,,4,2,4,4,4,4,4,4,4,4,4,4,4,3,2,3,2,3,2,3,3,3,2,6,3,6,5,5,5,5,5,5,3,4,3,2,1,4,4,1,2,2,2,1,2,4,2,1,3,5,3,4,1,2,3,2,,1,1,1,1,1,1,1,1,5,1,,1,1,1,5,2,2,2,2,0.8425931063254509
201801115315,14-Aug-2024 01:45:20,14-Aug-2024 01:52:56,3,1,9,1,1,2,5,3,2,3,2,3,5,3,4,,,,,,3,3,1,3,3,3,,,,,,4,2,2,2,4,4,2,2,2,2,1,3,1,1,2,5,4,5,3,3,4,5,5,5,5,5,5,2,3,4,1,2,,5,1,1,2,2,1,1,3,1,1,2,4,2,2,1,1,6,1,1,1,1,3,1,6,9,,3,6,2,,2,4,1,9,4,2,2,3,0.383281587875859
201801115494,13-Aug-2024 14:05:32,13-Aug-2024 14:12:21,1,1,9,2,2,3,4,2,2,3,,,,,,3,2,2,6,3,3,,,,,,3,2,3,3,3,1,3,2,3,3,2,2,3,2,2,2,3,2,3,3,3,3,4,4,3,5,3,2,2,2,2,2,2,4,4,3,,,4,1,2,2,1,1,1,3,1,1,3,5,2,4,1,1,5,2,,1,1,1,1,1,2,2,2,4,1,,1,1,1,5,1,1,1,2,0.5228206581741878
201801115862,14-Aug-2024 13:00:01,14-Aug-2024 13:08:36,1,1,9,2,2,3,5,4,3,6,,,,,,6,6,6,6,6,4,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,1,1,1,1,1,1,1,2,2,6,6,5,5,5,5,5,5,1,6,6,2,1,4,6,2,2,1,3,1,1,3,1,1,3,6,2,3,1,2,3,2,,1,1,1,1,1,2,2,2,5,3,1,1,1,1,1,2,1,2,1,0.8847538987541016
201801115919,13-Aug-2024 14:14:11,13-Aug-2024 14:23:36,1,1,9,2,1,3,2,5,2,4,,,,,,4,5,2,3,5,1,,,,,,1,2,1,3,3,1,3,2,3,1,2,3,1,3,2,5,1,1,1,2,3,5,2,1,1,5,2,2,2,2,1,4,2,5,5,1,1,1,3,2,1,2,2,1,2,3,1,1,3,6,3,2,2,1,5,2,,1,1,1,1,1,9,,3,6,4,2,2,4,3,5,5,2,2,2,0.8976699589526937
201801116156,14-Aug-2024 09:57:02,14-Aug-2024 10:01:19,1,1,9,2,1,2,1,3,1,2,,,,,,1,3,2,1,2,2,,,,,,2,2,3,2,2,2,1,3,1,1,2,1,1,2,1,1,1,1,2,1,1,1,3,3,2,4,1,4,4,4,2,3,2,3,3,1,1,1,2,1,1,2,2,1,1,4,1,1,3,6,2,2,1,1,5,2,,1,2,2,1,1,1,1,1,5,2,,2,3,1,9,3,1,2,3,0.473941855462171
201801116259,13-Aug-2024 18:17:16,13-Aug-2024 18:24:46,1,1,9,2,1,3,3,3,3,2,,,,,,2,4,2,4,2,2,,,,,,4,3,1,4,4,4,1,1,4,2,4,3,2,3,3,3,3,3,3,3,3,3,1,1,6,6,5,5,5,5,5,5,1,2,2,1,1,3,4,1,1,1,1,1,1,2,1,2,3,6,3,3,2,1,5,2,,99,99,99,99,1,1,1,1,2,3,1,1,2,1,99,4,1,1,99,0.7662233620830657
201801116351,14-Aug-2024 11:23:00,14-Aug-2024 11:31:43,3,1,9,1,2,3,5,4,2,4,3,3,5,4,3,,,,,,1,3,1,2,2,3,,,,,,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,4,4,4,5,5,5,3,3,3,4,4,2,1,4,3,2,3,2,2,1,3,4,1,2,3,6,3,3,1,1,6,2,,1,1,1,1,1,1,1,1,2,1,,1,1,1,9,1,1,1,3,0.7495573400969089
201801116438,17-Aug-2024 16:05:17,17-Aug-2024 16:19:08,3,2,9,2,1,2,4,5,3,4,,,,,,4,5,4,4,4,2,,,,,,2,3,2,4,2,1,3,2,2,2,2,2,2,1,2,2,1,1,2,1,1,2,2,2,4,2,5,5,5,5,1,4,2,5,3,2,2,,3,2,2,1,1,1,2,4,1,1,3,6,3,4,2,1,5,2,,1,1,1,1,6,1,1,1,2,1,,1,1,1,2,1,6,2,2,1.2205687505601204
201801116483,15-Aug-2024 16:42:51,15-Aug-2024 16:51:12,1,1,9,2,1,3,2,1,1,2,,,,,,1,3,2,2,2,3,,,,,,3,3,2,3,3,2,2,2,2,2,2,3,3,3,2,4,1,1,2,1,1,2,2,3,3,3,4,4,4,4,4,4,2,3,3,2,2,,2,3,2,1,1,1,1,4,1,2,3,6,3,3,1,3,2,2,,1,1,1,1,1,1,1,1,2,1,,1,1,1,7,2,2,1,2,0.8046484382172441
201801116493,14-Aug-2024 08:42:19,14-Aug-2024 08:56:58,3,1,9,1,1,2,2,5,3,3,2,3,3,4,2,,,,,,4,3,3,2,2,1,,,,,,3,3,3,3,2,2,1,4,3,2,2,2,2,3,3,4,3,3,3,6,6,5,5,5,5,5,5,1,5,3,2,2,,5,1,1,2,2,1,1,4,1,1,3,6,2,4,1,1,5,2,,1,1,1,1,1,1,2,1,2,1,,1,1,1,6,2,3,2,2,1.1429020583647544
201801116588,14-Aug-2024 17:46:59,14-Aug-2024 17:55:58,1,1,9,1,1,3,5,4,1,2,1,1,6,2,1,,,,,,3,3,3,2,3,3,,,,,,1,4,4,4,3,4,1,1,2,1,3,2,2,3,3,3,3,2,4,2,2,2,2,2,2,2,2,1,5,1,2,1,3,3,2,1,2,2,2,3,3,1,1,3,6,3,3,1,3,2,2,,1,1,1,1,1,1,1,1,1,1,,1,1,1,3,1,2,2,1,1.3275237877498387
201801116597,13-Aug-2024 21:32:37,13-Aug-2024 21:41:57,1,1,9,2,1,3,4,2,1,3,,,,,,4,6,2,2,2,3,,,,,,3,3,2,3,2,1,2,2,2,4,4,1,3,2,3,3,2,3,2,2,4,4,4,4,2,4,5,5,5,5,5,5,2,3,4,1,1,2,3,2,2,1,2,1,2,4,1,1,3,6,2,2,1,1,5,2,,1,1,1,1,1,9,,3,6,2,,2,4,1,9,4,2,2,2,1.1698792018948665
201801116673,13-Aug-2024 15:45:58,13-Aug-2024 15:50:01,1,1,9,2,2,2,5,3,2,5,,,,,,5,5,5,4,3,2,,,,,,2,2,3,2,2,2,2,3,2,3,2,2,2,3,2,3,2,2,1,2,1,1,3,2,5,4,4,4,4,4,3,3,2,4,4,2,2,,4,1,1,2,3,1,2,3,2,1,3,6,2,2,2,2,3,2,,1,1,1,1,1,1,1,1,5,3,1,1,2,1,9,3,2,1,3,0.9244255948573871
201801116774,17-Aug-2024 18:10:53,17-Aug-2024 18:39:26,1,1,9,1,2,3,5,3,3,3,6,6,6,6,6,,,,,,2,3,1,2,2,2,,,,,,4,3,2,4,3,2,4,2,3,3,3,2,2,3,4,3,3,6,4,3,4,5,5,5,5,2,3,1,3,3,2,1,3,4,2,1,1,2,1,2,3,1,2,3,6,3,2,2,1,6,2,,1,1,1,1,1,1,1,1,2,1,,1,1,1,7,2,1,1,2,0.7178900668963535
201801116917,14-Aug-2024 21:56:04,14-Aug-2024 22:05:33,1,1,9,2,1,2,5,5,2,5,,,,,,6,6,6,6,6,4,,,,,,4,4,4,4,4,4,4,4,4,2,4,4,4,1,2,99,1,2,1,1,4,99,6,1,6,6,1,4,4,5,1,4,2,6,5,3,,,5,1,1,1,1,1,1,3,99,1,3,6,99,1,2,2,3,2,,1,2,2,1,6,1,1,1,2,3,2,2,3,1,9,2,99,2,99,1.9291296692660862
201801117373,13-Aug-2024 16:48:01,13-Aug-2024 16:51:01,3,1,9,2,2,2,4,5,2,5,,,,,,5,5,5,6,5,4,,,,,,2,2,2,2,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,4,1,1,3,3,4,1,2,3,3,2,2,4,4,1,1,1,5,2,2,1,2,1,2,4,1,1,3,6,2,2,1,1,5,1,3,1,1,3,1,1,2,2,2,2,1,,1,1,1,9,2,1,1,2,0.13525972991407115
201801117536,13-Aug-2024 18:18:14,13-Aug-2024 18:33:39,3,2,9,2,3,3,5,3,3,6,,,,,,1,6,3,6,2,2,,,,,,1,1,1,1,1,4,1,2,2,2,2,2,2,3,2,1,1,1,1,1,1,1,2,1,6,6,5,5,5,5,5,5,2,3,4,3,,,5,1,1,1,1,1,1,1,5,2,3,6,3,3,2,3,1,2,,1,2,2,1,6,1,2,1,4,2,,2,3,3,1,3,2,1,1,0.7936455974944611
201801117555,14-Aug-2024 15:05:49,14-Aug-2024 15:11:08,3,1,9,2,2,2,2,3,2,4,,,,,,5,4,4,6,4,2,,,,,,2,2,2,2,4,1,2,2,2,2,2,3,3,1,2,4,1,1,1,3,1,1,4,3,4,4,5,5,5,5,5,5,2,3,3,1,1,3,3,1,2,2,2,1,2,3,1,1,3,6,2,2,2,1,6,2,,1,1,1,1,1,1,1,1,2,1,,1,1,1,8,2,1,1,2,0.679698604781977
201801118120,13-Aug-2024 14:45:09,13-Aug-2024 14:52:38,3,1,9,1,1,2,5,4,2,5,2,6,4,4,4,,,,,,2,3,2,2,2,4,,,,,,4,4,2,3,4,2,4,2,3,2,3,1,1,2,2,1,2,1,3,5,5,4,4,4,4,3,4,2,5,5,2,2,,3,1,1,1,2,2,1,4,2,1,3,6,2,4,2,2,3,2,,1,1,1,1,3,1,2,1,5,3,99,9,9,1,3,3,4,2,2,1.5251925684077166
201801118212,13-Aug-2024 15:11:12,13-Aug-2024 15:27:15,1,1,9,2,1,1,2,4,1,1,,,,,,6,6,1,1,6,2,,,,,,4,4,3,3,3,2,3,2,4,3,3,2,2,2,1,3,1,3,3,3,4,5,4,5,1,1,5,5,5,5,5,5,3,2,3,1,1,1,3,2,2,1,1,1,2,3,1,1,3,6,3,2,2,2,4,2,,1,1,1,1,2,12,,3,4,4,1,1,2,3,9,3,1,2,3,0.989036085048117
201801118579,13-Aug-2024 14:42:23,13-Aug-2024 14:49:25,3,1,9,2,2,2,5,5,2,5,,,,,,5,5,5,5,5,4,,,,,,4,4,4,4,4,2,2,2,2,2,2,2,2,1,2,1,1,1,1,2,1,1,5,1,5,5,4,4,4,4,4,4,1,5,5,3,,,3,1,1,1,1,1,1,3,1,1,3,6,3,4,1,3,2,2,,1,1,1,1,1,2,2,2,6,1,,1,1,1,99,2,3,2,99,1.0862513187458473
201801118611,14-Aug-2024 15:33:01,14-Aug-2024 15:51:39,3,1,9,2,2,3,5,5,2,3,,,,,,4,4,3,6,4,2,,,,,,2,2,2,2,4,4,3,2,1,2,2,2,1,1,3,3,1,2,2,2,1,1,3,2,3,4,2,3,3,2,2,3,2,4,4,3,,,4,1,1,1,1,2,1,3,2,1,3,6,3,4,2,2,3,2,,1,1,1,1,5,1,2,1,2,4,2,2,3,1,5,3,2,2,99,0.9406274180419002
201801118718,14-Aug-2024 04:52:18,14-Aug-2024 04:56:29,1,1,9,1,2,3,5,1,1,6,3,3,4,4,3,,,,,,2,4,1,2,2,3,,,,,,2,3,2,3,2,2,3,2,1,2,2,2,1,2,2,2,4,6,3,4,3,1,3,3,3,1,3,2,3,3,2,2,,3,1,1,2,2,2,2,3,1,1,3,6,2,1,2,1,5,2,,1,1,1,1,6,12,,3,6,2,,2,4,2,5,4,1,2,2,1.02793774547953
201801118776,13-Aug-2024 15:20:20,13-Aug-2024 15:33:03,1,1,9,2,1,2,4,3,3,3,,,,,,4,5,3,6,5,2,,,,,,4,4,3,4,1,4,4,1,1,1,4,2,1,3,3,1,1,2,1,1,1,3,6,1,3,4,5,5,5,5,5,5,1,5,5,1,1,3,3,2,2,2,2,1,2,4,1,1,3,6,2,2,1,1,6,2,,1,1,1,1,1,1,1,1,2,1,,1,1,1,9,2,1,1,3,0.8420400723283074
201801118856,14-Aug-2024 06:15:40,14-Aug-2024 06:45:49,3,1,9,1,1,2,4,3,2,4,2,4,2,2,1,,,,,,2,1,2,2,3,2,,,,,,2,1,2,1,1,2,2,2,1,3,2,1,1,1,2,2,1,1,2,2,2,1,3,4,2,1,3,2,2,3,1,1,3,4,1,1,1,1,1,1,2,2,1,3,5,2,3,1,1,5,2,,1,2,2,1,1,1,1,1,4,2,,2,4,1,9,4,1,2,3,0.34032231544792646
201801119088,14-Aug-2024 08:42:08,14-Aug-2024 08:51:15,1,1,9,2,2,2,2,4,3,4,,,,,,3,4,4,6,4,2,,,,,,2,2,2,2,4,2,1,4,1,3,2,2,2,3,2,3,2,3,3,3,1,2,3,3,4,2,3,3,3,3,3,3,2,4,4,3,,,4,3,2,3,3,1,3,4,2,2,3,6,3,4,2,1,5,2,,1,1,1,1,3,11,2,4,6,3,1,1,2,1,8,3,2,2,2,0.9048499073890265
201801119142,14-Aug-2024 15:38:44,14-Aug-2024 15:48:34,1,1,9,1,2,3,3,4,2,4,6,6,5,6,6,,,,,,2,4,4,2,2,4,,,,,,1,3,2,2,2,2,1,2,3,2,2,1,2,2,1,2,2,3,2,4,4,5,5,5,5,5,5,2,4,4,2,2,,3,1,1,1,1,1,1,2,1,1,3,6,3,3,1,1,6,2,,1,1,1,1,1,1,1,1,1,1,,1,1,1,8,1,1,1,2,0.7438995610979935
201801119202,13-Aug-2024 15:51:54,13-Aug-2024 15:57:43,1,1,9,2,2,3,5,4,3,3,,,,,,6,6,6,6,6,2,,,,,,2,3,3,4,4,4,4,4,4,3,2,4,3,3,2,3,1,1,3,3,1,3,2,3,4,4,5,5,5,5,5,5,2,4,4,3,,,5,1,1,1,3,1,1,2,6,1,3,6,3,2,2,2,3,2,,1,1,1,1,6,2,,2,5,3,1,1,2,3,1,3,1,2,1,0.8211941712020465
201801119294,15-Aug-2024 13:17:01,15-Aug-2024 13:21:08,1,1,9,2,1,3,2,3,2,3,,,,,,3,3,3,4,4,3,,,,,,3,3,3,3,3,2,2,2,2,2,2,2,2,99,2,1,2,1,2,1,4,5,4,4,4,5,3,3,3,3,3,3,2,5,5,1,1,5,6,1,2,2,2,1,1,4,2,1,2,3,2,1,2,1,6,2,,1,1,1,1,1,3,2,4,1,4,99,9,9,3,9,99,2,1,2,1.015886849750574
201801119453,17-Aug-2024 10:25:03,17-Aug-2024 10:36:50,1,1,9,2,2,3,5,3,2,3,,,,,,2,4,3,3,4,4,,,,,,3,4,3,3,3,4,2,4,2,4,2,3,2,3,2,3,4,2,3,3,2,4,4,6,4,4,5,5,5,5,5,5,3,3,3,2,2,,3,1,2,2,3,1,2,4,1,1,3,6,2,2,2,2,3,2,,1,1,1,1,1,1,1,1,2,4,1,1,1,1,99,1,2,2,99,1.1559997337047474
201801119562,14-Aug-2024 05:59:24,14-Aug-2024 06:06:06,1,1,9,2,2,2,5,4,3,3,,,,,,6,6,3,6,4,2,,,,,,3,2,3,3,3,3,3,2,1,3,3,2,3,1,2,3,3,2,3,3,2,3,3,2,4,4,5,5,5,5,5,5,3,3,2,3,,,4,1,1,2,2,1,2,3,2,1,3,6,2,3,2,1,6,2,,1,1,1,1,1,2,2,2,2,1,,1,1,1,9,2,1,2,3,0.9455290689668724
201801119693,15-Aug-2024 11:19:52,15-Aug-2024 11:31:29,3,1,9,2,1,3,4,3,3,3,,,,,,3,3,3,3,3,3,,,,,,3,3,3,3,3,1,1,1,1,1,1,1,1,2,1,4,2,2,3,4,2,4,4,4,4,4,1,1,1,1,1,1,3,4,4,2,1,3,3,2,3,2,2,2,2,3,2,1,3,6,1,4,1,1,6,2,,4,3,5,4,1,8,,4,3,3,1,1,2,1,9,3,2,1,3,0.33390352377488836
201801119732,14-Aug-2024 16:32:47,14-Aug-2024 16:37:07,1,1,9,2,2,2,4,3,2,4,,,,,,4,4,4,4,4,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,4,4,3,3,3,3,3,3,2,3,3,2,2,,4,1,2,2,2,1,3,3,1,2,3,6,3,2,2,3,2,2,,1,1,1,1,1,1,1,1,2,4,1,1,2,1,7,3,2,1,2,0.8662752833660528
201801119943,17-Aug-2024 07:58:41,17-Aug-2024 08:11:52,1,1,9,1,2,3,2,2,1,2,3,3,6,2,3,,,,,,2,3,2,2,2,3,,,,,,2,3,4,3,2,2,2,1,2,1,1,1,1,1,2,3,1,4,3,2,3,2,3,3,3,2,3,2,4,3,1,1,1,5,1,1,1,1,1,1,2,1,1,3,6,1,2,2,1,6,2,,1,2,2,1,1,1,1,1,2,2,,2,3,1,8,2,1,2,2,1.029312016911101
201801120524,13-Aug-2024 20:11:24,13-Aug-2024 20:22:07,1,1,9,1,1,2,5,4,2,5,5,5,5,5,5,,,,,,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,5,5,4,4,4,4,4,4,2,5,5,2,1,5,5,1,1,1,2,1,1,3,1,2,3,6,3,4,1,2,3,2,,1,1,1,1,1,1,1,1,2,1,,1,1,1,5,2,2,1,2,0.5791158219440996
201801120596,14-Aug-2024 07:16:17,14-Aug-2024 07:21:29,3,1,9,2,2,2,2,3,2,4,,,,,,4,5,5,4,5,2,,,,,,3,2,3,2,3,1,3,3,3,3,3,2,2,1,2,2,2,2,2,2,2,3,4,2,4,4,3,2,3,3,3,2,2,5,5,2,2,,4,1,1,2,2,1,2,2,2,2,3,6,3,4,1,1,5,2,,1,1,1,1,1,12,,3,6,3,1,1,2,1,6,3,3,2,2,1.2789900307611086
201801120820,15-Aug-2024 15:10:43,15-Aug-2024 15:16:30,1,1,9,1,2,3,5,3,2,3,6,4,4,6,4,,,,,,2,3,3,2,3,3,,,,,,4,2,2,2,2,2,4,4,1,3,3,2,3,2,2,3,3,4,3,5,4,5,5,5,5,5,5,3,4,4,1,1,3,3,1,1,1,2,1,1,3,2,1,3,6,2,2,1,3,2,2,,1,1,1,1,99,10,,3,6,3,1,1,2,3,7,3,1,2,99,1.0355380956494395
201801121301,15-Aug-2024 19:17:08,15-Aug-2024 19:29:31,3,1,9,1,2,1,2,3,1,2,2,2,3,2,2,,,,,,2,2,2,2,2,2,,,,,,3,1,1,3,1,1,3,1,2,2,2,3,3,4,3,2,3,4,4,4,4,2,2,2,2,2,2,1,3,3,3,,,5,1,1,1,2,1,1,1,2,2,3,6,3,4,2,1,6,2,,1,1,1,1,1,1,1,1,1,1,,1,1,1,2,2,1,1,1,0.5599918034520461
